Time,accX,accY,accZ
0.0,-49.0,65.0,1014.0
0.006672000000000011,-48.0,66.0,1020.0
0.013336000000000015,-52.0,68.0,1024.0
0.02000399999999991,-49.0,65.0,1017.0
0.026667999999999914,-53.0,67.0,1023.0
0.03333600000000003,-48.0,68.0,1020.0
0.04000399999999993,-55.0,67.0,1024.0
0.04666400000000004,-48.0,63.0,1025.0
0.05333600000000005,-52.0,69.0,1019.0
0.06000000000000005,-50.0,53.0,1019.0
0.06666400000000006,-49.0,61.0,1024.0
0.07333199999999995,-54.0,57.0,1035.0
0.07999599999999996,-50.0,65.0,1029.0
0.08665999999999996,-53.0,70.0,1040.0
0.09333199999999997,-56.0,58.0,1031.0
0.09999599999999997,-49.0,65.0,1021.0
0.10666399999999987,-46.0,65.0,1025.0
0.11332799999999987,-46.0,63.0,1019.0
0.11998799999999998,-51.0,64.0,1012.0
0.12666,-58.0,71.0,999.0
0.13331999999999988,-45.0,63.0,1001.0
0.1399919999999999,-45.0,68.0,998.0
0.146652,-49.0,62.0,989.0
0.15332400000000002,-49.0,68.0,995.0
0.1599839999999999,-46.0,65.0,1002.0
0.16665599999999992,-48.0,65.0,993.0
0.17331600000000003,-52.0,64.0,996.0
0.17998800000000004,-45.0,66.0,1004.0
0.18664799999999993,-51.0,74.0,1006.0
0.19331999999999994,-54.0,72.0,1010.0
0.19998000000000005,-54.0,60.0,1018.0
0.20665200000000006,-53.0,61.0,1025.0
0.21331199999999995,-51.0,69.0,1023.0
0.21998399999999996,-52.0,68.0,1032.0
0.22664400000000007,-55.0,65.0,1034.0
0.23331599999999986,-56.0,66.0,1034.0
0.23998399999999998,-54.0,64.0,1035.0
0.24664399999999986,-54.0,69.0,1035.0
0.253312,-57.0,71.0,1036.0
0.2599799999999999,-56.0,67.0,1033.0
0.2666439999999999,-52.0,68.0,1035.0
0.273312,-55.0,62.0,1036.0
0.279976,-50.0,71.0,1033.0
0.28664,-51.0,70.0,1029.0
0.293312,-55.0,67.0,1034.0
0.2999719999999999,-50.0,66.0,1030.0
0.30664,-48.0,69.0,1023.0
0.3133079999999999,-53.0,66.0,1014.0
0.3199719999999999,-45.0,69.0,1013.0
0.32664000000000004,-49.0,58.0,1004.0
0.33330799999999994,-50.0,72.0,1002.0
0.33997199999999994,-48.0,61.0,1003.0
0.34663599999999994,-51.0,60.0,996.0
0.35330400000000006,-52.0,68.0,997.0
0.35996799999999984,-50.0,67.0,997.0
0.36663599999999996,-50.0,60.0,994.0
0.37330399999999986,-49.0,62.0,990.0
0.37996399999999997,-51.0,62.0,1003.0
0.38663199999999986,-47.0,62.0,995.0
0.3933,-48.0,66.0,995.0
0.399964,-51.0,69.0,1009.0
0.4066319999999999,-49.0,72.0,1017.0
0.4133,-53.0,65.0,1018.0
0.419964,-53.0,61.0,1014.0
0.426628,-52.0,65.0,1028.0
0.4332959999999999,-56.0,67.0,1009.0
0.439964,-52.0,71.0,1010.0
0.4466239999999999,-51.0,56.0,1000.0
0.4532959999999999,-49.0,66.0,998.0
0.45995600000000003,-53.0,63.0,988.0
0.46662800000000004,-50.0,65.0,994.0
0.47328799999999993,-58.0,65.0,997.0
0.47995600000000005,-54.0,63.0,996.0
0.48662000000000005,-51.0,65.0,1020.0
0.49328799999999995,-52.0,69.0,1021.0
0.49995199999999973,-57.0,68.0,1011.0
0.5066200000000001,-61.0,68.0,1033.0
0.5132839999999999,-55.0,72.0,1033.0
0.5199519999999997,-62.0,65.0,1033.0
0.5266119999999999,-59.0,62.0,1034.0
0.5332839999999999,-57.0,62.0,1028.0
