"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
1.457824700E-1,-4.549102783E0,2.258392334E0,-6.649932861E-1,5.122195636E0
1.481628410E-1,-4.582092285E0,2.372009277E0,-6.454315186E-1,5.199863418E0
1.505737300E-1,-4.613861084E0,2.483184814E0,-6.313934326E-1,5.277554224E0
1.529541010E-1,-4.643783569E0,2.591934204E0,-6.240692139E-1,5.354653223E0
1.553344720E-1,-4.673721313E0,2.698211670E0,-6.197814941E-1,5.432140115E0
1.577453610E-1,-4.699996948E0,2.799011230E0,-6.234436035E-1,5.505734929E0
1.601257320E-1,-4.725646973E0,2.895523071E0,-6.313934326E-1,5.578032882E0
1.625061030E-1,-4.750686646E0,2.984710693E0,-6.466674805E-1,5.647627852E0
1.649169920E-1,-4.775131226E0,3.071456909E0,-6.643829346E-1,5.716391384E0
1.672973630E-1,-4.797729492E0,3.149047852E0,-6.875915527E-1,5.779921522E0
1.696777340E-1,-4.819107056E0,3.220504761E0,-7.138671875E-1,5.839952918E0
1.720886230E-1,-4.839263916E0,3.284652710E0,-7.450103760E-1,5.895969737E0
1.744689940E-1,-4.860656738E0,3.341461182E0,-7.761688232E-1,5.949267585E0
1.768493650E-1,-4.878982544E0,3.389114380E0,-8.085479736E-1,5.995357935E0
1.792602540E-1,-4.898529053E0,3.429428101E0,-8.384704590E-1,6.038178259E0
1.816406250E-1,-4.915634155E0,3.459365845E0,-8.702392578E-1,6.073548186E0
1.840209960E-1,-4.935180664E0,3.484405518E0,-8.977355957E-1,6.107619765E0
1.864013670E-1,-4.950439453E0,3.500900269E0,-9.221649170E-1,6.132987983E0
1.888122560E-1,-4.964492798E0,3.511901855E0,-9.423217773E-1,6.153666689E0
1.911926270E-1,-4.977935791E0,3.516784668E0,-9.636993408E-1,6.170602528E0
1.935729980E-1,-4.990142822E0,3.512512207E0,-9.801940918E-1,6.180618727E0
1.959838860E-1,-5.001144409E0,3.503341675E0,-9.954681396E-1,6.186744306E0
1.983642570E-1,-5.008468628E0,3.489913940E0,-1.007690430E0,6.187058858E0
2.007446290E-1,-5.015197754E0,3.467300415E0,-1.019302368E0,6.181695398E0
2.031555170E-1,-5.021316528E0,3.436157227E0,-1.028457642E0,6.170779633E0
2.055358880E-1,-5.026199341E0,3.397659302E0,-1.037628174E0,6.154952540E0
2.079162590E-1,-5.028640747E0,3.353683472E0,-1.044326782E0,6.133925254E0
2.103271480E-1,-5.029861450E0,3.297485352E0,-1.052886963E0,6.105856763E0
