"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
1.386108400E-1,-1.575164795E-1,1.568603516E-2,-1.557922363E-2,1.590603823E-1
1.409912110E-1,-1.569061279E-1,7.125854492E-3,-1.741027832E-2,1.580298344E-1
1.434021000E-1,-1.569061279E-1,4.119873047E-4,-1.863098145E-2,1.580089117E-1
1.457824710E-1,-1.520080566E-1,-5.065917969E-3,-2.046203613E-2,1.534627242E-1
1.481628420E-1,-1.483459473E-1,-6.912231445E-3,-1.802062988E-2,1.495962637E-1
1.505432130E-1,-1.446838379E-1,-6.301879883E-3,-1.435852051E-2,1.455310749E-1
1.529541020E-1,-1.397857666E-1,-5.691528320E-3,-1.251220703E-2,1.404599920E-1
1.553344730E-1,-1.379699707E-1,-3.845214844E-3,-1.373291016E-2,1.387050515E-1
1.577148440E-1,-1.367492676E-1,1.632690430E-3,-1.191711426E-2,1.372772577E-1
1.601257330E-1,-1.367492676E-1,7.125854492E-3,-1.191711426E-2,1.374523830E-1
1.625061040E-1,-1.379699707E-1,1.568603516E-2,-1.129150391E-2,1.393171295E-1
1.648864750E-1,-1.385650635E-1,2.423095703E-2,-8.850097656E-3,1.409458773E-1
1.672973630E-1,-1.379699707E-1,3.279113770E-2,-7.019042969E-3,1.419867546E-1
1.696777340E-1,-1.397857666E-1,4.255676270E-2,-3.356933594E-3,1.461588437E-1
1.720581060E-1,-1.391906738E-1,4.928588867E-2,-2.761840820E-3,1.476846988E-1
1.744689940E-1,-1.379699707E-1,5.416870117E-2,-3.356933594E-3,1.482606826E-1
1.768493650E-1,-1.391906738E-1,5.783081055E-2,-7.019042969E-3,1.508897389E-1
1.792297360E-1,-1.367492676E-1,5.783081055E-2,-8.850097656E-3,1.487383241E-1
1.816406250E-1,-1.343078613E-1,5.599975586E-2,-1.007080078E-2,1.458629333E-1
1.840209960E-1,-1.324615479E-1,5.233764648E-2,-1.007080078E-2,1.427820434E-1
1.864318850E-1,-1.220855713E-1,4.011535645E-2,-8.239746094E-3,1.287712000E-1
1.888427740E-1,-1.019134521E-1,1.751708984E-2,-6.423950195E-3,1.036072744E-1
1.912231450E-1,-9.031677246E-2,-6.301879883E-3,-4.577636719E-3,9.065201507E-2
1.936035160E-1,-8.543395996E-2,-1.791381836E-2,-3.356933594E-3,8.735637015E-2
1.959838870E-1,-8.177185059E-2,-2.279663086E-2,-1.541137695E-3,8.490404603E-2
1.983947750E-1,-8.055114746E-2,-1.545715332E-2,-3.204345703E-4,8.202142174E-2
2.007751470E-1,-8.114624023E-2,-3.845214844E-3,2.136230469E-3,8.126537677E-2
2.031555180E-1,-8.055114746E-2,1.078796387E-2,3.051757812E-4,8.127090903E-2
2.055664060E-1,-8.114624023E-2,2.423095703E-2,-2.136230469E-3,8.471372417E-2
2.079467770E-1,-8.299255371E-2,3.279113770E-2,-5.203247070E-3,8.938733950E-2
2.103271490E-1,-8.299255371E-2,3.828430176E-2,-7.019042969E-3,9.166634441E-2
2.127380370E-1,-8.177185059E-2,3.828430176E-2,-9.475708008E-3,9.078608016E-2
2.151184080E-1,-8.114624023E-2,3.462219238E-2,-1.313781738E-2,8.919647277E-2
2.174987790E-1,-8.114624023E-2,2.789306641E-2,-1.435852051E-2,8.699944005E-2
2.199096680E-1,-7.931518555E-2,1.690673828E-2,-1.557922363E-2,8.257995318E-2
2.222900390E-1,-7.931518555E-2,6.530761719E-3,-1.679992676E-2,8.133748856E-2
2.246704100E-1,-7.992553711E-2,-5.691528320E-3,-1.617431641E-2,8.174407311E-2
2.270812990E-1,-8.055114746E-2,-1.606750488E-2,-1.617431641E-2,8.371535452E-2
2.294616700E-1,-7.870483398E-2,-2.706909180E-2,-1.802062988E-2,8.515826281E-2
2.318420410E-1,-7.687377930E-2,-3.500366211E-2,-1.802062988E-2,8.636884511E-2
2.342529300E-1,-7.565307617E-2,-3.990173340E-2,-1.924133301E-2,8.766849581E-2
2.366333010E-1,-7.382202148E-2,-4.234313965E-2,-1.924133301E-2,8.725171189E-2
2.390136720E-1,-7.260131836E-2,-4.173278809E-2,-1.924133301E-2,8.592325602E-2
2.413940430E-1,-7.321166992E-2,-4.112243652E-2,-1.985168457E-2,8.628495106E-2
2.438049320E-1,-7.260131836E-2,-3.805541992E-2,-1.985168457E-2,8.434011971E-2
2.461853030E-1,-7.382202148E-2,-3.500366211E-2,-1.863098145E-2,8.379773676E-2
2.485656740E-1,-7.504272461E-2,-3.439331055E-2,-1.802062988E-2,8.449291940E-2
2.509765630E-1,-7.443237305E-2,-3.439331055E-2,-1.863098145E-2,8.408443041E-2
2.533569340E-1,-7.504272461E-2,-3.622436523E-2,-1.863098145E-2,8.538576359E-2
2.557373050E-1,-7.504272461E-2,-3.990173340E-2,-1.863098145E-2,8.700961047E-2
2.581481930E-1,-7.260131836E-2,-4.112243652E-2,-1.924133301E-2,8.562847137E-2
2.605285650E-1,-7.077026367E-2,-4.539489746E-2,-2.168273926E-2,8.682895898E-2
2.629089360E-1,-7.015991211E-2,-4.844665527E-2,-2.168273926E-2,8.797518318E-2
2.653198240E-1,-6.832885742E-2,-5.027770996E-2,-2.229309082E-2,8.771352674E-2
2.677001950E-1,-6.771850586E-2,-5.027770996E-2,-2.473449707E-2,8.789447935E-2
2.700805660E-1,-6.649780273E-2,-4.722595215E-2,-2.229309082E-2,8.455312072E-2
2.724914550E-1,-6.527709961E-2,-4.417419434E-2,-2.168273926E-2,8.174717341E-2
2.748718260E-1,-6.343078613E-2,-4.112243652E-2,-2.046203613E-2,7.831484111E-2
2.772521970E-1,-6.221008301E-2,-4.051208496E-2,-1.924133301E-2,7.669127950E-2
2.796325680E-1,-6.221008301E-2,-4.112243652E-2,-1.985168457E-2,7.717019239E-2
2.820434570E-1,-6.037902832E-2,-4.356384277E-2,-2.046203613E-2,7.721483265E-2
2.844238280E-1,-5.976867676E-2,-4.722595215E-2,-2.290344238E-2,7.954340294E-2
2.868041990E-1,-5.610656738E-2,-4.905700684E-2,-2.351379395E-2,7.815008208E-2
2.892150880E-1,-5.488586426E-2,-5.271911621E-2,-2.473449707E-2,8.002223850E-2
2.915954590E-1,-5.183410645E-2,-5.332946777E-2,-2.473449707E-2,7.837475403E-2
2.939758300E-1,-4.756164551E-2,-5.638122559E-2,-2.229309082E-2,7.705799517E-2
2.963867190E-1,-4.632568359E-2,-6.372070312E-2,-2.168273926E-2,8.171008597E-2
