Time,Pulses,wm,PWM,Vbus
0.0,0.0,0.0,20.0,5.000004768371582
0.05000599999999977,0.0,0.0,40.0,5.000004768371582
0.10000999999999927,0.0,0.0,40.0,5.000004768371582
0.1500149999999998,0.0,0.0,40.0,5.000004768371582
0.20001499999999872,0.0,0.0,40.0,5.000004768371582
0.25001799999999896,0.0,0.0,40.0,5.000004768371582
0.30001999999999995,0.0,0.0,40.0,5.000004768371582
0.3500209999999999,0.0,0.0,40.0,5.000004768371582
0.4000269999999997,0.0,0.0,40.0,5.000004768371582
0.4500309999999992,0.0,0.0,40.0,5.000004768371582
0.5000309999999999,0.0,0.0,40.0,5.000004768371582
0.5500319999999999,0.0,0.0,40.0,5.000004768371582
0.6000339999999991,0.0,0.0,40.0,5.000004768371582
0.6500399999999988,0.0,0.0,40.0,5.000004768371582
0.7000399999999996,0.0,0.0,40.0,5.000004768371582
0.7500409999999995,0.0,0.0,40.0,5.000004768371582
0.8000439999999998,0.0,0.0,40.0,5.000004768371582
0.8500479999999992,0.0,0.0,40.0,5.000004768371582
0.900048,0.0,0.0,40.0,5.000004768371582
0.9500479999999989,0.0,0.0,40.0,5.000004768371582
1.0000529999999994,0.0,0.0,40.0,5.000004768371582
1.0500589999999992,0.0,0.0,40.0,5.000004768371582
1.1000619999999994,0.0,0.0,40.0,5.000004768371582
1.1500640000000004,0.0,0.0,40.0,5.000004768371582
1.2000639999999976,0.0,0.0,40.0,5.000004768371582
1.2500639999999983,0.0,0.0,40.0,5.000004768371582
1.300065,0.0,0.0,40.0,5.000004768371582
1.3500650000000007,0.0,0.0,40.0,5.000004768371582
1.4000699999999995,0.0,0.0,40.0,5.000004768371582
1.4500729999999997,0.0,0.0,40.0,5.000004768371582
1.500074999999999,0.0,0.0,40.0,5.000004768371582
1.5500790000000002,0.0,0.0,40.0,5.000004768371582
1.6000799999999984,0.0,0.0,40.0,5.000004768371582
1.6500839999999997,0.0,0.0,40.0,5.000004768371582
1.7000849999999978,0.0,0.0,40.0,5.000004768371582
1.7500859999999996,0.0,0.0,40.0,5.000004768371582
1.8000869999999978,0.0,0.0,40.0,5.000004768371582
1.850089999999998,0.0,0.0,40.0,5.000004768371582
1.9000950000000003,0.0,0.0,40.0,5.000004768371582
1.950098999999998,0.0,0.0,40.0,5.000004768371582
2.0001040000000003,0.0,0.0,40.0,5.000004768371582
2.050108999999999,0.0,0.0,40.0,5.000004768371582
2.1001179999999984,0.0,0.0,40.0,5.000004768371582
2.1501219999999996,0.0,0.0,40.0,5.000004768371582
2.2001259999999974,0.0,0.0,40.0,5.000004768371582
2.2501299999999986,0.0,0.0,40.0,5.000004768371582
2.300134,0.0,0.0,40.0,5.000004768371582
2.3501389999999986,0.0,0.0,40.0,5.000004768371582
2.4001389999999994,0.0,0.0,40.0,5.000004768371582
2.4501419999999996,0.0,0.0,40.0,5.000004768371582
2.500145,0.0,0.0,40.0,5.000004768371582
2.5501489999999976,0.0,0.0,40.0,5.000004768371582
2.600152999999999,0.0,0.0,40.0,5.000004768371582
2.650157,0.0,0.0,40.0,5.000004768371582
2.7001579999999983,0.0,0.0,40.0,5.000004768371582
2.750163999999998,0.0,0.0,40.0,5.000004768371582
2.8001690000000004,0.0,0.0,40.0,5.000004768371582
2.850172999999998,0.0,0.0,40.0,5.000004768371582
2.9001759999999983,0.0,0.0,40.0,5.000004768371582
2.9501779999999975,0.0,0.0,40.0,5.000004768371582
3.0001839999999973,0.0,0.0,40.0,5.000004768371582
3.0501869999999975,0.0,0.0,40.0,5.000004768371582
3.100189999999998,0.0,0.0,40.0,5.000004768371582
3.1501899999999985,0.0,0.0,60.0,5.000004768371582
3.2001939999999998,0.0,0.0,60.0,5.000004768371582
3.2501979999999975,0.0,0.0,60.0,5.000004768371582
3.3002009999999977,0.0,0.0,60.0,5.000004768371582
3.3502030000000005,0.0,0.0,60.0,5.000004768371582
3.4002060000000007,0.0,0.0,60.0,5.000004768371582
3.450205999999998,0.0,0.0,60.0,5.000004768371582
3.500211,0.0,0.0,60.0,5.000004768371582
3.550214999999998,0.0,0.0,60.0,5.000004768371582
3.6002170000000007,0.0,0.0,60.0,5.000004768371582
3.650216999999998,0.0,0.0,60.0,5.000004768371582
3.7002190000000006,0.0,0.0,60.0,5.000004768371582
3.750221,0.0,0.0,60.0,5.000004768371582
3.800222999999999,0.0,0.0,60.0,5.000004768371582
3.8502279999999978,0.0,0.0,60.0,5.000004768371582
3.9002289999999995,0.0,0.0,60.0,5.000004768371582
3.9502330000000008,0.0,0.0,60.0,5.000004768371582
4.0002359999999975,0.0,0.0,60.0,5.000004768371582
4.050238,0.0,0.0,60.0,5.000004768371582
4.100239999999999,0.0,0.0,60.0,5.000004768371582
4.15024,0.0,0.0,60.0,5.000004768371582
4.200244999999999,0.0,0.0,60.0,5.000004768371582
4.250249,0.0,0.0,60.0,5.000004768371582
4.300252,0.0,0.0,60.0,5.000004768371582
4.350255999999998,0.0,0.0,60.0,5.000004768371582
4.400259999999999,0.0,0.0,60.0,5.000004768371582
4.450263,0.0,0.0,60.0,5.000004768371582
4.500268999999999,0.0,0.0,60.0,5.000004768371582
4.550273999999998,0.0,0.0,60.0,5.000004768371582
4.6002790000000005,0.0,0.0,60.0,5.000004768371582
4.650278999999998,0.0,0.0,60.0,5.000004768371582
4.700284999999997,0.0,0.0,60.0,5.000004768371582
4.75029,0.0,0.0,60.0,5.000004768371582
4.800290999999998,0.0,0.0,60.0,5.000004768371582
4.850296999999998,0.0,0.0,60.0,5.000004768371582
