Time,Force
0.0,-8127.0
0.01028800000000274,-8150.0
0.02001100000001088,-8023.0
0.030280000000004748,-8030.0
0.04000900000001195,-8029.0
0.05028400000000488,-8052.0
0.06000700000001302,-8105.0
0.0702840000000009,-8104.0
0.08000700000000904,-8229.0
0.09028600000000608,-8230.0
0.10000800000000254,-8081.0
0.11027800000000809,-8054.0
0.12000900000001025,-8053.0
0.13028600000001234,-8026.0
0.14001000000000374,-8025.0
0.15028600000000836,-8134.0
0.16000999999999976,-8209.0
0.17028600000000438,-8208.0
0.18001100000000747,-8281.0
0.1902820000000105,-8282.0
0.20001300000001265,-8229.0
0.21029000000000053,-8072.0
0.22001500000000362,-7977.0
0.23029200000000571,-8038.0
0.2400000000000091,-8037.0
0.2502980000000008,-8132.0
0.2600040000000092,-8201.0
0.27029200000001197,-8154.0
0.28000400000000525,-8159.0
0.290300000000002,-8160.0
0.30000500000001296,-8059.0
0.31030000000001223,-8202.0
0.3200070000000039,-8059.0
0.33027800000000695,-8024.0
0.34002900000000125,-8023.0
0.3502740000000131,-8120.0
0.3600320000000039,-8225.0
0.3702600000000018,-8014.0
0.3800370000000015,-8077.0
0.390262000000007,-8078.0
0.4000380000000092,-7943.0
0.4102640000000122,-7852.0
0.42003300000000365,-8049.0
0.4302600000000041,-8246.0
0.4400400000000104,-8245.0
0.45024100000000544,-8176.0
0.46006500000000017,-8195.0
0.47024100000000146,-8156.0
0.4800650000000104,-8065.0
0.49024,-8066.0
0.5000650000000064,-8079.0
0.5102340000000112,-8002.0
0.5200650000000024,-8027.0
0.5302400000000063,-8084.0
0.5400650000000127,-8083.0
0.5502390000000048,-8190.0
0.5600640000000112,-8185.0
0.5702390000000008,-8142.0
0.5800640000000072,-8177.0
0.590233000000012,-8178.0
0.6000640000000033,-7991.0
0.6102390000000071,-8000.0
0.6200630000000018,-7997.0
0.6302370000000082,-8090.0
0.6400620000000004,-8089.0
0.6502360000000067,-8048.0
0.6600609999999989,-8027.0
0.6702300000000037,-8050.0
0.6800600000000117,-8123.0
0.690236000000013,-8124.0
0.7000610000000052,-8065.0
0.710236000000009,-8128.0
0.7200600000000037,-8181.0
0.73023400000001,-8164.0
0.7400580000000048,-8163.0
0.750228000000007,-8020.0
0.76006000000001,-8119.0
0.7702360000000112,-8088.0
0.7800620000000009,-8167.0
0.7902380000000022,-8168.0
0.8000640000000061,-8277.0
0.8102410000000049,-8212.0
0.8200430000000125,-8153.0
0.8302639999999997,-8230.0
0.8400210000000072,-8229.0
0.8502739999999989,-8108.0
