Time,omegax,omegay,omegaz,Absolute (rad/s)
1.830023540E-1,3.237490356E-2,1.247655526E-1,1.969982497E-2,1.303942506E-1
1.853344900E-1,3.848337755E-2,1.209477559E-1,2.214321308E-2,1.288396363E-1
1.876666770E-1,3.955236077E-2,1.137702987E-1,2.458660305E-2,1.229331979E-1
1.899988120E-1,3.924693540E-2,1.052184403E-1,2.840439789E-2,1.158363153E-1
1.923309480E-1,3.787253052E-2,9.681928903E-2,3.084778599E-2,1.084430228E-1
1.946631350E-1,3.665083647E-2,9.315420687E-2,3.573456407E-2,1.062918113E-1
1.969952710E-1,3.649812192E-2,9.208522737E-2,3.939964995E-2,1.066026942E-1
1.993274060E-1,3.527642787E-2,9.208522737E-2,4.428642616E-2,1.080990426E-1
2.016595940E-1,2.916795574E-2,9.223793447E-2,5.039490014E-2,1.090791096E-1
2.039917290E-1,2.550287358E-2,9.223793447E-2,5.528167635E-2,1.105183101E-1
2.063238650E-1,1.924168877E-2,8.872556686E-2,5.772506446E-2,1.075855560E-1
2.086560520E-1,1.175880991E-2,8.887827396E-2,6.016845629E-2,1.079715718E-1
2.109881870E-1,6.108472589E-4,8.918370306E-2,6.368082762E-2,1.095871974E-1
2.133203230E-1,-9.162709117E-3,9.177979827E-2,6.490252167E-2,1.127821969E-1
2.156525100E-1,-2.153236605E-2,9.193251282E-2,6.856760383E-2,1.166908137E-1
2.179846460E-1,-3.023693897E-2,8.735115826E-2,6.123743951E-2,1.108806625E-1
2.203167810E-1,-3.939964995E-2,6.902574003E-2,6.200099736E-2,1.008018297E-1
2.226489690E-1,-4.138490185E-2,2.412846684E-2,6.169557199E-2,7.811041298E-2
2.249811040E-1,-3.436015919E-2,-4.993676394E-2,6.230641901E-2,8.692750303E-2
2.273132400E-1,-1.954711229E-2,-1.070509851E-1,6.398624927E-2,1.262388336E-1
2.296454270E-1,-6.413896102E-3,-1.339282542E-1,6.917845458E-2,1.508760217E-1
2.319775620E-1,4.734066315E-3,-1.293469071E-1,7.650861889E-2,1.503549219E-1
2.343096980E-1,1.252236869E-2,-1.111742035E-1,8.735115826E-2,1.419392056E-1
2.366418850E-1,2.046338283E-2,-8.475505561E-2,9.819369763E-2,1.313170657E-1
2.389740210E-1,1.847812906E-2,-6.520794332E-2,1.091889441E-1,1.285135893E-1
2.413062080E-1,1.252236869E-2,-5.543438718E-2,1.163664013E-1,1.295025882E-1
2.436383440E-1,5.192201585E-3,-5.161659420E-2,1.212531775E-1,1.318846648E-1
2.459704790E-1,-3.665083554E-3,-5.757235363E-2,1.236965731E-1,1.364875486E-1
2.483026150E-1,-1.496575773E-2,-6.459710002E-2,1.188097894E-1,1.360607412E-1
2.506348020E-1,-2.596100792E-2,-6.077930331E-2,1.139230132E-1,1.317063043E-1
2.529669370E-1,-3.817795217E-2,-5.085303262E-2,1.137702987E-1,1.303352133E-1
2.552991250E-1,-4.810422286E-2,-5.314370990E-2,1.125486046E-1,1.334370959E-1
2.576312600E-1,-5.680879578E-2,-6.016845629E-2,1.137702987E-1,1.406810693E-1
2.599633960E-1,-6.322269142E-2,-7.101099193E-2,1.113269106E-1,1.464013343E-1
2.622955830E-1,-6.963659078E-2,-8.292251825E-2,1.090362370E-1,1.536694498E-1
2.646277190E-1,-6.978929788E-2,-8.903098851E-2,1.078145429E-1,1.562723222E-1
2.669598540E-1,-7.116370648E-2,-9.636115283E-2,1.053711548E-1,1.595394157E-1
2.692920420E-1,-7.238540053E-2,-9.743013978E-2,1.039967462E-1,1.598361711E-1
2.716241770E-1,-7.360709459E-2,-9.376505762E-2,1.065928489E-1,1.599122442E-1
2.739563120E-1,-7.482878864E-2,-9.009996802E-2,1.065928489E-1,1.583647287E-1
2.762885000E-1,-7.467607409E-2,-8.292251825E-2,1.113269106E-1,1.576272219E-1
2.786206350E-1,-7.834116369E-2,-8.032641560E-2,1.162136942E-1,1.615403779E-1
2.809527710E-1,-7.956285775E-2,-8.032641560E-2,1.235438585E-1,1.674684041E-1
2.832849580E-1,-8.322793990E-2,-8.139539510E-2,1.296523362E-1,1.742464594E-1
2.856170940E-1,-8.811471611E-2,-7.895200700E-2,1.406475753E-1,1.837916294E-1
2.879492290E-1,-8.918370306E-2,-7.162184268E-2,1.527118087E-1,1.907991555E-1
2.902814170E-1,-8.903098851E-2,-6.184828654E-2,1.624853760E-1,1.953285050E-1
2.926135520E-1,-8.872556686E-2,-4.963133857E-2,1.745496094E-1,2.019976785E-1
2.949456870E-1,-8.857285231E-2,-3.756710514E-2,1.855448484E-1,2.090055701E-1
2.972778750E-1,-8.964183182E-2,-3.268032894E-2,1.953184158E-1,2.173774263E-1
2.996100100E-1,-8.964183182E-2,-3.252761811E-2,2.063136548E-1,2.272862251E-1
3.019421460E-1,-9.345962852E-2,-3.481829539E-2,2.185306102E-1,2.402137453E-1
3.042743330E-1,-9.727742523E-2,-4.321744293E-2,2.319692522E-1,2.552261327E-1
3.066064690E-1,-9.758284688E-2,-5.405998230E-2,2.429644912E-1,2.673511505E-1
3.089386040E-1,-1.003316641E-1,-7.101099193E-2,2.553341687E-1,2.833805595E-1
3.112707920E-1,-1.032331884E-1,-8.658760041E-2,2.701472044E-1,3.018841098E-1
3.136029270E-1,-1.010952219E-1,-1.010952219E-1,2.848075330E-1,3.186782369E-1
3.159351150E-1,-9.910997003E-2,-1.229330078E-1,3.009949923E-1,3.399018916E-1
3.182672500E-1,-9.452861547E-2,-1.435490996E-1,3.182514310E-1,3.616987371E-1
3.205993850E-1,-8.872556686E-2,-1.617218107E-1,3.355078697E-1,3.828729566E-1
3.229315730E-1,-8.674030751E-2,-1.811162084E-1,3.564293683E-1,4.091073899E-1
3.252637080E-1,-8.338065445E-2,-1.992889196E-1,3.797942698E-1,4.369348857E-1
3.275958440E-1,-7.895200700E-2,-2.246390730E-1,4.007157981E-1,4.661215329E-1
3.299280310E-1,-7.956285775E-2,-2.536543310E-1,4.240806997E-1,5.005149426E-1
3.322601670E-1,-8.643488586E-2,-2.874036431E-1,4.475983381E-1,5.389026961E-1
3.345923020E-1,-9.361234307E-2,-3.271087110E-1,4.709632397E-1,5.810075324E-1
3.369244900E-1,-1.006370857E-1,-3.668137789E-1,4.969242513E-1,6.257906063E-1
3.392566250E-1,-1.075091213E-1,-4.042281806E-1,5.204418898E-1,6.676963335E-1
3.415887600E-1,-1.108687744E-1,-4.451549351E-1,5.438067913E-1,7.114637220E-1
3.439208960E-1,-1.117850468E-1,-4.862344265E-1,5.636593103E-1,7.527493821E-1
3.462530830E-1,-1.102579311E-1,-5.311316848E-1,5.835118294E-1,7.967080601E-1
3.485852190E-1,-1.087308154E-1,-5.746545792E-1,6.047387719E-1,8.412842907E-1
3.509174060E-1,-1.047603041E-1,-6.206207871E-1,6.233696342E-1,8.858524615E-1
3.532495420E-1,-9.834641218E-2,-6.655181050E-1,6.407787800E-1,9.290768589E-1
3.555816770E-1,-9.193251282E-2,-7.140804529E-1,6.595623493E-1,9.764143448E-1
3.579138650E-1,-8.551861346E-2,-7.637118101E-1,6.794148684E-1,1.025755198E0
3.602460000E-1,-7.941014320E-2,-8.267817497E-1,6.957550049E-1,1.083489298E0
3.625781350E-1,-7.864658535E-2,-9.042066336E-1,7.146912813E-1,1.155230951E0
3.649103230E-1,-8.536590636E-2,-9.888089895E-1,7.299624681E-1,1.232021007E0
3.672424580E-1,-8.674030751E-2,-1.055391312E0,7.450809479E-1,1.294805128E0
3.695745940E-1,-8.154810965E-2,-1.096623540E0,7.563816309E-1,1.334670916E0
3.719067810E-1,-7.834116369E-2,-1.120904684E0,7.675296068E-1,1.360759474E0
3.742389170E-1,-6.994201243E-2,-1.135565042E0,7.762341499E-1,1.377294197E0
3.765710520E-1,-6.383354217E-2,-1.139230132E0,7.860077024E-1,1.385542537E0
3.789032400E-1,-5.390727147E-2,-1.133427143E0,7.933378816E-1,1.384538940E0
3.812353750E-1,-4.107947648E-2,-1.115407109E0,8.006680608E-1,1.373641105E0
3.835675100E-1,-2.947338112E-2,-1.087766290E0,8.066238165E-1,1.354528022E0
3.858996980E-1,-1.649287529E-2,-1.060125470E0,8.113578558E-1,1.335080371E0
3.882318330E-1,3.054236295E-4,-1.028819442E0,8.173136115E-1,1.313952464E0
3.905640210E-1,1.466033421E-2,-9.903361201E-1,8.206732869E-1,1.286267935E0
3.928961560E-1,2.916795574E-2,-9.469659925E-1,8.229639530E-1,1.254936265E0
3.952282920E-1,4.474456236E-2,-9.109259844E-1,8.251019120E-1,1.229870477E0
3.975604790E-1,5.528167635E-2,-8.845068216E-1,8.286142945E-1,1.213264205E0
3.998926150E-1,6.658235192E-2,-8.713735938E-1,8.273926377E-1,1.203454913E0
4.022247500E-1,7.162184268E-2,-8.690829277E-1,8.237275481E-1,1.199567379E0
4.045569370E-1,7.635590434E-2,-8.788564801E-1,8.189934492E-1,1.203731368E0
