Time,omegax,omegay,omegaz,Absolute (rad/s)
2.882811000E-2,-3.399364948E-1,5.405998230E-2,1.191152185E-1,3.642358267E-1
3.116040200E-2,-3.165715933E-1,1.093416587E-1,1.298050433E-1,3.591970508E-1
3.349264200E-2,-2.932066917E-1,1.586675793E-1,1.331647038E-1,3.589963832E-1
3.582488100E-2,-2.663294077E-1,2.041756958E-1,1.342336833E-1,3.614384455E-1
3.815712100E-2,-2.406738251E-1,2.449497581E-1,1.314848661E-1,3.677125836E-1
4.048936000E-2,-2.139492482E-1,2.843494117E-1,1.240019947E-1,3.768359901E-1
4.282160000E-2,-1.837123185E-1,3.127537966E-1,1.130067408E-1,3.799153547E-1
4.515384000E-2,-1.597365588E-1,3.341334462E-1,9.697200358E-2,3.828374297E-1
4.748607900E-2,-1.359135211E-1,3.518480062E-1,8.108997345E-2,3.858044693E-1
4.981831900E-2,-1.119377613E-1,3.718532622E-1,6.520794332E-2,3.937727605E-1
5.215055800E-2,-9.437590092E-2,3.860554695E-1,4.810422286E-2,4.003244340E-1
5.448279800E-2,-7.681404054E-2,4.001049399E-1,3.206948191E-2,4.086720096E-1
5.681503800E-2,-6.291726977E-2,4.083513916E-1,1.618745178E-2,4.134869713E-1
5.914727700E-2,-4.688252881E-2,4.115583301E-1,1.679830020E-3,4.142234329E-1
6.147951700E-2,-3.329117596E-2,4.077405334E-1,-1.175880991E-2,4.092663125E-1
6.381175600E-2,-2.611372061E-2,4.002576768E-1,-2.504473738E-2,4.018897525E-1
6.614404800E-2,-1.893626526E-2,3.878880143E-1,-3.848337755E-2,3.902520521E-1
6.847628800E-2,-1.298050396E-2,3.768927455E-1,-4.810422286E-2,3.801718708E-1
7.080852700E-2,-9.468132630E-3,3.634541333E-1,-5.650337040E-2,3.679418207E-1
7.314076700E-2,-5.955760833E-3,3.549022675E-1,-6.016845629E-2,3.600157409E-1
7.547300600E-2,1.527118147E-4,3.510844707E-1,-5.879404768E-2,3.559734105E-1
7.780524600E-2,3.665083554E-3,3.461976945E-1,-5.879404768E-2,3.511737698E-1
8.013748500E-2,4.581354558E-3,3.304683566E-1,-5.619794875E-2,3.352439902E-1
8.246972500E-2,5.344913341E-3,3.074088693E-1,-5.726693198E-2,3.127431574E-1
8.480196500E-2,3.665083554E-3,2.820587158E-1,-6.077930331E-2,2.885561916E-1
8.713420400E-2,-7.635590737E-4,2.518217862E-1,-6.795676053E-2,2.608312027E-1
8.946644400E-2,-5.039489828E-3,2.215848416E-1,-7.620319724E-2,2.343761203E-1
9.179868300E-2,-1.435491070E-2,1.913478971E-1,-8.582404256E-2,2.102042993E-1
9.413092300E-2,-2.473931387E-2,1.649287641E-1,-9.666658193E-2,1.927639980E-1
9.646316300E-2,-3.512371704E-2,1.408002973E-1,-1.038440317E-1,1.784432182E-1
9.879540200E-2,-4.169032723E-2,1.252236813E-1,-1.062874198E-1,1.694581640E-1
1.011276420E-1,-5.314370990E-2,1.133121699E-1,-1.085781008E-1,1.656897876E-1
1.034598810E-1,-5.940489471E-2,1.061347127E-1,-1.061347127E-1,1.614252025E-1
1.057921730E-1,-6.566607952E-2,1.001789495E-1,-1.012479365E-1,1.568406853E-1
1.081244130E-1,-6.704048812E-2,9.788827598E-2,-9.513945878E-2,1.520791184E-1
1.104566520E-1,-6.444438547E-2,1.003316641E-1,-8.658760041E-2,1.473666658E-1
1.127888920E-1,-6.077930331E-2,1.014006436E-1,-7.559234649E-2,1.403225466E-1
1.151211310E-1,-5.451811850E-2,1.050657257E-1,-6.948387623E-2,1.372553861E-1
1.174533710E-1,-4.566083103E-2,1.145338640E-1,-5.971032009E-2,1.369972256E-1
1.197856100E-1,-3.558185324E-2,1.229330078E-1,-5.238015205E-2,1.382833071E-1
1.221178500E-1,-2.428117767E-2,1.336228400E-1,-4.153761268E-2,1.420211683E-1
